,player,nationality,position,squad,age,birth_year,minutes_90s,goals_against_gk,pens_allowed,free_kick_goals_against_gk,corner_kick_goals_against_gk,own_goals_against_gk,psxg_gk,psnpxg_per_shot_on_target_against,psxg_net_gk,psxg_net_per90_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,def_actions_outside_pen_area_per90_gk,avg_distance_def_actions_gk,matches
18,David Ospina,co COL,GK,Napoli,32-166,1988,12.0,11,3,0,0,0,9.5,0.29,-1.5,-0.13,53,112,47.3,369,34,28.7,31.3,36,16.7,24.3,66,8,12.1,10,0.83,15.9,Matches
19,Alberto Paleari,it ITA,GK,Genoa,28-168,1992,1.3,3,0,0,0,0,2.6,0.36,-0.4,-0.3,7,25,28.0,34,5,64.7,45.3,10,30.0,30.6,8,0,0.0,0,0.0,11.7,Matches
20,Gianluca Pegolo,it ITA,GK,Sassuolo,39-325,1981,1.0,0,0,0,0,0,0.0,0.04,0.0,0.04,0,1,0.0,13,2,7.7,18.5,8,0.0,13.6,4,0,0.0,0,0.0,14.5,Matches
21,Mattia Perin,it ITA,GK,Genoa,28-095,1992,18.0,22,4,0,5,1,22.5,0.25,1.5,0.09,147,388,37.9,502,68,60.0,42.4,161,54.0,40.9,206,9,4.4,5,0.28,12.5,Matches
22,Ivan Provedel,it ITA,GK,Spezia,26-333,1994,18.0,31,5,1,2,0,28.7,0.34,-2.3,-0.13,194,408,47.5,812,78,44.2,38.4,100,49.0,43.6,133,12,9.0,19,1.06,16.7,Matches
23,Rafael,br BRA,GK,Spezia,38-347,1982,1.3,3,0,0,0,0,1.6,0.18,-1.4,-1.04,11,25,44.0,46,7,50.0,37.8,11,18.2,26.5,23,1,4.3,0,0.0,8.3,Matches
24,Federico Ravaglia,it ITA,GK,Bologna,21-094,1999,1.0,5,0,0,0,1,3.3,0.48,-0.7,-0.66,1,2,50.0,25,1,4.0,19.2,6,16.7,18.7,6,0,0.0,2,2.0,23.5,Matches
25,Pepe Reina,es ESP,GK,Lazio,38-166,1982,15.0,15,2,0,5,1,17.9,0.29,3.9,0.26,113,237,47.7,548,59,38.9,35.4,75,32.0,29.3,104,6,5.8,8,0.53,16.9,Matches
26,Luigi Sepe,it ITA,GK,Parma,29-281,1991,21.0,41,1,0,5,1,34.4,0.32,-5.6,-0.26,190,337,56.4,635,111,42.5,37.4,167,40.1,36.3,229,12,5.2,8,0.38,13.2,Matches
27,Marco Silvestri,it ITA,GK,Hellas Verona,29-348,1991,21.0,23,2,0,5,2,21.2,0.24,0.2,0.01,134,462,29.0,441,42,68.3,46.9,178,90.4,58.4,189,5,2.6,10,0.48,13.1,Matches
28,Salvatore Sirigu,it ITA,GK,Torino,34-032,1987,19.0,37,4,1,4,1,26.5,0.34,-9.5,-0.5,106,241,44.0,472,63,39.0,33.9,143,39.9,33.1,171,8,4.7,7,0.37,13.0,Matches
29,Łukasz Skorupski,pl POL,GK,Bologna,29-284,1991,15.0,22,2,0,5,1,22.0,0.27,1.0,0.07,60,157,38.2,386,78,32.1,32.4,110,30.0,26.2,116,17,14.7,6,0.4,13.5,Matches
30,Marco Sportiello,it ITA,GK,Atalanta,28-279,1992,7.3,15,0,0,1,0,10.7,0.3,-4.3,-0.59,26,61,42.6,164,41,23.8,30.7,37,59.5,47.5,49,4,8.2,6,0.82,16.1,Matches
31,Thomas Strakosha,al ALB,GK,Lazio,25-331,1995,6.0,12,1,0,1,0,10.6,0.36,-1.4,-0.23,41,86,47.7,220,35,36.8,32.3,32,15.6,26.0,60,4,6.7,1,0.17,11.7,Matches
32,Wojciech Szczęsny,pl POL,GK,Juventus,30-301,1990,16.0,16,1,0,2,1,15.2,0.27,0.2,0.01,53,93,57.0,457,73,17.5,28.0,105,12.4,23.0,132,8,6.1,12,0.75,13.2,Matches
33,Ciprian Tătărușanu,ro ROU,GK,Milan,35-004,1986,1.0,3,1,0,2,0,2.9,0.35,-0.1,-0.05,2,5,40.0,23,7,13.0,21.8,4,50.0,30.8,3,1,33.3,0,0.0,8.1,Matches
34,Jeroen Zoet,nl NED,GK,Spezia,30-038,1991,1.7,4,1,0,1,0,3.0,0.4,-1.0,-0.6,9,20,45.0,52,11,34.6,33.0,8,25.0,30.8,16,0,0.0,0,0.0,8.1,Matches
0,Saturnin Allagbé,bj BEN,GK,Dijon,27-083,1993,4.0,8,0,1,0,0,6.1,0.3,-1.9,-0.48,20,53,37.7,103,20,40.8,35.1,27,40.7,34.9,35,0,0.0,5,1.25,16.4,Matches
1,Walter Benítez,ar ARG,GK,Nice,27-331,1993,23.0,31,6,0,5,0,30.6,0.24,-0.4,-0.02,69,217,31.8,586,102,27.1,30.1,197,29.4,31.6,224,15,6.7,9,0.39,11.9,Matches
2,Paul Bernardoni,fr FRA,GK,Angers,23-301,1997,24.0,37,3,0,3,1,31.2,0.31,-4.8,-0.2,110,319,34.5,428,118,47.0,40.2,165,71.5,52.5,214,16,7.5,8,0.33,12.8,Matches
3,Dimitry Bertaud,fr FRA,GK,Montpellier,22-252,1998,5.3,8,1,0,1,0,7.7,0.32,-0.3,-0.06,67,113,59.3,136,21,57.4,43.1,47,74.5,54.9,44,5,11.4,1,0.19,11.9,Matches
4,Marcin Bułka,pl POL,GK,Paris S-G,21-132,1999,1.0,1,0,0,0,0,1.3,0.45,0.3,0.32,2,5,40.0,28,9,17.9,25.5,2,0.0,21.5,7,0,0.0,2,2.0,13.1,Matches
5,Marc-Aurèle Caillard,fr FRA,GK,Metz,26-277,1994,1.0,1,0,0,0,0,1.8,0.29,0.8,0.75,7,15,46.7,23,9,47.8,39.2,6,66.7,55.0,9,0,0.0,0,0.0,12.7,Matches
6,Sébastien Cibois,fr FRA,GK,Brest,22-348,1998,1.0,1,0,0,0,0,1.3,0.32,0.3,0.28,4,9,44.4,16,1,43.8,37.4,3,66.7,52.7,6,0,0.0,0,0.0,5.0,Matches
7,Benoît Costil,fr FRA,GK,Bordeaux,33-225,1987,24.0,30,3,1,3,1,26.2,0.25,-1.8,-0.07,211,458,46.1,669,100,49.2,39.8,179,72.1,51.1,210,11,5.2,12,0.5,14.0,Matches
8,Yehvann Diouf,fr FRA,GK,Reims,21-089,1999,1.5,1,1,0,0,0,1.0,0.03,0.0,0.01,5,16,31.3,40,13,27.5,32.2,12,41.7,39.0,11,0,0.0,1,0.67,15.3,Matches
9,Matthieu Dreyer,fr FRA,GK,Lorient,31-330,1989,5.0,7,2,0,1,0,7.2,0.32,0.2,0.04,21,67,31.3,73,16,49.3,40.1,41,75.6,49.0,34,3,8.8,1,0.2,13.1,Matches
10,Wuilker Faríñez,ve VEN,GK,Lens,22-364,1998,0.1,1,1,0,0,0,1.0,,0.0,-0.17,1,2,50.0,1,0,100.0,103.0,1,100.0,63.0,2,0,0.0,0,0.0,8.0,Matches
11,Alfred Gomis,sn SEN,GK,Dijon,27-161,1993,5.0,10,3,0,2,1,9.9,0.3,0.9,0.17,28,94,29.8,121,28,43.0,39.4,67,62.7,49.6,78,8,10.3,3,0.6,12.8,Matches
12,Alfred Gomis,sn SEN,GK,Rennes,27-161,1993,7.0,9,0,0,0,0,9.1,0.37,0.1,0.01,25,60,41.7,157,36,26.1,29.9,33,57.6,46.9,42,3,7.1,6,0.86,15.7,Matches
13,Bingourou Kamara,sn SEN,GK,Strasbourg,24-115,1996,8.0,14,1,0,1,1,9.7,0.28,-3.3,-0.41,63,142,44.4,191,43,48.7,39.3,56,87.5,60.0,58,3,5.2,1,0.13,12.9,Matches
14,Eiji Kawashima,jp JPN,GK,Strasbourg,37-330,1983,16.0,25,3,1,2,0,23.8,0.32,-1.2,-0.07,127,270,47.0,347,58,52.2,41.7,123,72.4,54.4,140,8,5.7,4,0.25,11.6,Matches
15,Alban Lafont,fr FRA,GK,Nantes,22-021,1999,24.0,39,7,1,6,1,37.3,0.3,-0.7,-0.03,133,388,34.3,573,100,45.4,40.3,174,73.6,53.7,212,16,7.5,16,0.67,14.4,Matches
16,Gautier Larsonneur,fr FRA,GK,Brest,23-356,1997,23.0,43,6,1,6,1,35.8,0.28,-6.2,-0.27,144,301,47.8,669,116,36.2,36.3,181,32.6,34.9,219,19,8.7,8,0.35,12.6,Matches
17,Jean-Louis Leca,fr FRA,GK,Lens,35-145,1985,23.9,32,4,0,3,2,27.4,0.29,-2.6,-0.11,156,385,40.5,562,86,55.2,42.8,154,48.7,40.6,164,12,7.3,15,0.63,14.8,Matches
18,Benjamin Lecomte,fr FRA,GK,Monaco,29-293,1991,14.0,20,2,1,0,0,14.1,0.32,-5.9,-0.42,80,196,40.8,411,59,37.7,34.9,86,47.7,42.7,101,4,4.0,20,1.43,17.7,Matches
19,Anthony Lopes,pt POR,GK,Lyon,30-135,1990,24.0,20,3,0,0,2,20.1,0.25,2.1,0.09,136,252,54.0,574,105,32.2,32.6,157,42.7,37.2,187,11,5.9,23,0.96,17.3,Matches
20,Mike Maignan,fr FRA,GK,Lille,25-077,1995,24.0,15,1,0,7,1,16.7,0.24,2.7,0.11,115,325,35.4,545,121,41.3,38.4,150,66.7,55.6,180,14,7.8,17,0.71,15.8,Matches
21,Radosław Majecki,pl POL,GK,Monaco,21-089,1999,1.0,1,0,0,0,0,0.3,0.16,-0.7,-0.68,4,15,26.7,25,2,36.0,32.5,12,50.0,39.9,7,0,0.0,1,1.0,16.0,Matches
22,Steve Mandanda,fr FRA,GK,Marseille,35-322,1985,21.0,24,2,1,5,1,22.6,0.31,-0.4,-0.02,119,368,32.3,587,108,42.6,37.9,169,69.8,50.8,231,19,8.2,12,0.57,13.5,Matches
23,Vito Mannone,it ITA,GK,Monaco,32-348,1988,9.0,14,2,0,1,0,11.9,0.34,-2.1,-0.23,55,138,39.9,226,26,41.2,36.4,61,73.8,54.0,63,3,4.8,6,0.67,18.8,Matches
24,Edouard Mendy,sn SEN,GK,Rennes,28-349,1992,1.0,1,0,0,0,0,0.6,0.56,-0.4,-0.44,7,12,58.3,23,2,43.5,37.9,6,33.3,35.2,6,1,16.7,0,0.0,10.0,Matches
25,Jessy Moulin,fr FRA,GK,Saint-Étienne,35-031,1986,24.0,36,3,2,5,2,32.8,0.34,-1.2,-0.05,119,295,40.3,579,124,33.9,35.6,164,60.4,47.4,181,10,5.5,6,0.25,13.7,Matches
26,Paul Nardi,fr FRA,GK,Lorient,26-271,1994,18.0,37,3,0,3,0,26.1,0.27,-9.9,-0.55,103,285,36.1,362,93,48.3,39.8,146,75.3,56.9,149,6,4.0,13,0.72,15.0,Matches
27,Keylor Navas,cr CRC,GK,Paris S-G,34-060,1986,15.5,7,1,0,2,0,11.9,0.24,4.9,0.32,54,98,55.1,295,61,25.4,30.0,100,23.0,28.5,124,4,3.2,4,0.26,11.9,Matches
28,Jonas Omlin,ch SUI,GK,Montpellier,27-034,1994,18.7,36,10,0,4,2,34.4,0.31,0.4,0.02,128,294,43.5,463,105,43.8,38.4,145,62.8,49.7,160,15,9.4,8,0.43,13.0,Matches
29,Alexandre Oukidja,dz ALG,GK,Metz,32-209,1988,23.0,22,3,0,3,1,24.3,0.27,4.3,0.19,182,438,41.6,511,125,55.0,44.2,212,74.1,54.7,229,31,13.5,26,1.13,16.1,Matches
30,Yohann Pelé,fr FRA,GK,Marseille,38-101,1982,1.0,2,0,0,0,0,2.4,0.47,0.4,0.35,0,0,,22,7,0.0,20.5,3,0.0,14.7,8,1,12.5,1,1.0,13.0,Matches
31,Anthony Racioppi,ch SUI,GK,Dijon,22-044,1998,15.0,18,2,0,3,1,23.0,0.31,6.0,0.4,74,236,31.4,346,68,41.3,36.7,133,69.9,50.8,154,11,7.1,7,0.47,14.3,Matches
32,Predrag Rajković,rs SRB,GK,Reims,25-105,1995,22.5,31,2,0,5,1,25.3,0.26,-4.7,-0.21,148,437,33.9,621,97,48.1,41.8,205,67.3,51.2,231,13,5.6,13,0.58,14.0,Matches
33,Baptiste Reynet,fr FRA,GK,Nîmes,30-108,1990,23.0,51,6,1,2,0,44.2,0.31,-6.8,-0.29,171,464,36.9,769,86,44.6,40.0,174,69.5,51.1,215,12,5.6,17,0.74,14.8,Matches
34,Sergio Rico,es ESP,GK,Paris S-G,27-165,1993,7.5,6,0,0,0,1,7.3,0.26,2.3,0.31,9,21,42.9,135,35,11.1,24.1,49,12.2,25.0,44,1,2.3,5,0.67,14.1,Matches
35,Romain Salin,fr FRA,GK,Rennes,36-199,1984,15.0,14,0,0,4,0,15.2,0.28,1.2,0.08,99,227,43.6,421,76,35.9,34.0,123,61.8,47.5,113,9,8.0,29,1.93,18.0,Matches
